HighSchool	AICode	NumberOfTestTakers	SATCriticalReadingMean	SATMathMean	SATWritingMean	SATIINumberOfTestTakers SATIITotalTestsTaken	APNumberOfTestTakers APTotalTestsTaken APNumberOfHighScores	PSATSophomoreNumberOfTestTakers	PSATSophomoreCriticalReadingMean	PSATSophomoreMathMean	PSATSophomoreWritingSkillsMean	PSATJuniorNumberOfTestTakers PSATJuniorCriticalReadingMean	PSATJuniorMathMean	PSATJuniorWritingSkillsMean
Liberty High School	480502	170	551	560	537	16	41	154	235	181	165	48.9	50.6	46.2	247	48.2	50.7	46.3
Liberty High School	481230	13	467	495	468	0	0	11	18	1	6	47.0	50.2	46.3	13	45.5	53.9	44.4
Lincoln High School	481385	77	431	442	411	1	2	91	95	15	2	0	0	0	95	39.4	40.2	36.7
Lind High School	480620	5	464	530	524	0	0	4	6	0	6	53.0	50.5	49.5	9	45.3	42.3	42.0
Lopez High School	480630	15	541	521	511	4	11	5	5	3	17	46.7	45.8	43.3	12	55.3	54.2	53.3
Lyle High School	480635	2	0	0	0	0	0	2	3	0	1	0	0	0	8	46.8	49.3	41.5
Lynden High School	480647	65	517	526	478	0	0	29	45	29	17	52.6	53.4	48.0	49	48.7	52.5	46.3
Lynnwood High School	480649	104	473	515	456	2	4	168	207	121	18	50.4	54.3	47.1	90	46.4	49.9	43.5
Mabton High School	480650	41	350	385	355	0	0	34	34	0	61	35.6	35.8	33.2	7	37.7	35.9	34.0
Mansfield High School	480655	0	0	0	0	0	0	0	0	0	6	49.0	47.8	42.0	15	42.9	51.9	39.9
Manson High School	480660	22	422	452	421	0	0	37	47	20	51	39.4	41.6	37.0	30	34.9	39.2	35.5
Mariner High School	480387	185	455	476	446	6	14	173	276	95	26	43.2	46.7	41.7	105	44.5	48.3	45.0
Mark Morris High School	480623	105	488	513	462	4	12	21	33	23	5	48.0	45.8	39.6	43	52.8	53.8	48.1
Mary M. Knight High School	480360	5	438	410	420	0	0	0	0	0	0	0	0	0	0	0	0	0
Mary Walker High School	481310	19	472	468	453	0	0	23	28	9	35	39.4	36.4	35.8	30	40.0	40.8	39.0
Marysville Arts & Technology High School	480684	14	559	510	533	0	0	1	2	0	1	0	0	0	7	48.7	46.4	48.4
Marysville Mountain View High School	480674	1	0	0	0	0	0	0	0	0	0	0	0	0	6	39.5	40.2	39.0
Marysville0Pilchuck High School	480682	158	522	518	500	1	3	116	157	75	10	46.7	52.9	41.8	121	47.2	46.0	44.4
Mead Education Partnership Prg	480686	6	473	518	452	0	0	0	0	0	0	0	0	0	0	0	0	0
Mead Senior High School	480685	229	512	528	493	11	30	309	540	344	85	49.4	47.6	46.1	267	50.0	50.6	47.9
Meadowdale Senior High School	480342	147	540	551	526	18	44	233	360	217	24	49.2	54.4	46.6	135	51.9	52.3	50.1
Medical Lake High School	480690	72	512	514	475	2	5	43	66	36	12	48.4	46.5	43.1	18	49.1	52.9	47.3
Mercer Island High School	480698	281	593	626	582	113	301	262	470	373	19	56.8	59.6	55.5	233	57.6	62.5	56.9
Meridian High School	480080	35	549	556	540	1	2	46	77	50	13	45.2	45.2	42.8	13	51.2	55.9	49.4
Middle College High School	481126	13	491	438	478	1	3	0	0	0	11	38.7	34.8	30.7	28	37.5	36.6	35.1
Monroe High School	480725	132	518	541	505	8	18	70	104	63	6	53.2	51.5	46.8	72	52.2	54.3	49.0
Montesano Junior0Senior High School	480730	35	479	506	473	1	2	4	8	0	13	47.1	49.5	43.2	23	51.6	54.3	49.0
Morton Junior0Senior High School	480735	7	544	496	519	0	0	3	3	0	8	42.0	42.4	40.6	4	0	0	0
Moses Lake Senior High School	480740	97	505	521	486	1	1	129	222	124	41	49.1	49.8	46.0	68	48.3	50.9	46.5
Mossyrock High School	480745	18	515	498	522	0	0	0	0	0	0	0	0	0	33	47.0	49.7	46.0
Mount Baker Senior High School	480305	64	519	528	496	3	7	8	8	5	76	45.4	46.0	42.7	81	49.0	50.4	49.2
Mount Rainier High School	480538	169	508	510	498	27	70	0	0	0	51	43.2	41.8	37.6	272	45.3	47.7	43.0
Mount Si High School	480797	186	553	556	545	15	36	221	305	213	50	51.8	52.3	49.9	257	49.2	48.6	47.0
Mount Spokane High School	480687	109	544	549	527	0	0	234	420	267	120	49.4	49.6	47.2	282	46.2	48.5	43.7
Mount Tahoma High School	481388	109	467	455	448	3	9	174	247	77	21	46.2	45.0	43.1	113	42.6	43.0	40.6
Mount Vernon High School	480750	124	503	515	487	9	22	138	221	125	89	43.7	45.2	42.8	136	46.0	46.9	43.2
Mountain View High School	481477	134	566	578	550	30	68	372	743	621	44	54.9	56.0	52.4	131	54.3	54.4	51.1
