ZipCode,City,State,MedianIncome,MedianIncomeRank,CostOfLivingIndex,CostOfLivingRank,MedianMortgageToIncomeRatio,MedianMortgageToIncomeRank,OwnerOccupiedHomesPercent,OwnerOccupiedHomesRank,MedianRoomsInHome,MedianRoomsInHomeRank,CollegeDegreePercent,CollegeDegreeRank,ProfessionalPercent,ProfessionalRank,Population,PopulationRank,AverageHouseholdSize,AverageHouseholdSizeRank,MedianAge,MedianAgeRank,MaleToFemaleRatio,MaleToFemaleRank,MarriedPercent,MarriedRank,DivorcedPercent,DivorcedRank,WhitePercent,WhiteRank,BlackPercent,BlackRank,AsianPercent,AsianRank,HispanicEthnicityPercent,HispanicEthnicityRank
98241,Darrington,WA,35568,39,130.9,67,25.9,93,76.2,47,5.2,29,10.7,25,23.4,27,2120,13,2.6,48,38.2,61,90,37,60.4,45,12.3,85,88.6,48,0,2,0.5,49,0.9,29
98362,Port Angeles,WA,35721,39,135.7,69,24.1,84,67.8,24,5.4,42,21.1,66,28.3,52,21199,76,2.2,7,42.8,91,88.6,30,57.9,32,11.8,81,91.8,56,0.4,32,1.5,74,1.8,48
98403,Tacoma,WA,35569,39,243,92,23.7,81,32.5,3,4,3,41.1,89,45.3,89,7749,50,1.8,0,36.5,44,95.5,67,43.2,5,17.9,99,84.3,40,5.5,69,1.6,75,3.1,61
98568,Oakville,WA,35726,39,119.5,62,20.6,43,75.4,44,5.7,63,7.9,11,23.1,26,2332,16,2.9,83,34.4,24,96.3,70,55.3,23,11.9,82,71.9,26,0.2,23,0,8,6.5,75
98310,Bremerton,WA,35819,40,127,66,23.7,81,51,8,4.9,12,17.4,55,28.4,52,18691,72,2.2,7,36.8,47,82.4,8,53.3,18,14,94,76,30,4.5,65,6.6,93,4.3,68
98331,Forks,WA,35802,40,92.6,43,21.4,55,67.7,24,5,17,11.2,27,22.6,24,6268,44,2.8,77,33.3,17,112.4,96,58.9,37,10.1,61,77,31,1.1,45,0.6,55,11.5,83
98635,Lyle,WA,36328,42,120.8,62,22.7,71,66.8,23,4.9,13,16.3,52,28.1,51,2060,12,2.4,18,41.7,88,101.9,87,63.9,67,9.9,58,87.5,46,0,1,1.7,76,2.6,57
98903,Yakima,WA,36239,42,98,48,21.7,59,74.1,40,5.3,36,11.3,28,24.2,31,13737,64,2.7,70,37.6,55,94.5,62,62,54,12,83,75.4,29,0.3,27,1.2,69,19,89
98903,Yakima,WA,36239,42,98,48,21.7,59,74.1,40,5.3,36,11.3,28,24.2,31,13737,64,2.7,70,37.6,55,94.5,62,62,54,12,83,75.4,29,0.3,27,1.2,69,19,89
98953,Zillah,WA,36438,42,131.8,68,23.3,78,67.9,25,5.8,67,16,50,28.8,54,6116,44,3,89,32.1,12,99.3,81,62.1,55,8.7,39,60.2,18,0.2,22,1,65,34.1,94
