ZipCode,Under10K,10K-15K,Mgt/Professional,15K-25K,Service,25K-35K,Sales/Office,35K-50K,Farm/Fishing/Forestry,50K-75K,Construction/Extraction/Maint.,75K-100K,Production/Transportation,100K-150K,150K-200K,Unemployed,200K+,InPoverty,MedianIncome
98275,2.30,1.60,47.60,6.50,9.50,8.50,25.70,13,0.50,24.40,8.60,17.40,8.20,18.60,5.10,2.80,2.60,3.30,67372
98277,5.50,5.30,28.50,13.60,20.70,15.90,24.50,19.70,0.50,23.90,11.60,9,14.20,4.70,1.30,3.20,1,7.90,41891
98280,10.30,9.80,46.40,10.90,9.40,4.90,22.40,9.20,0,28.30,8.90,21.20,13,0,0,0,5.40,11.20,51500
98284,8.20,5.10,23.90,12.80,17,14.40,25,19.40,3.10,21.40,14.40,11.30,16.70,4.80,0.90,5,1.70,10.90,40851
98286,11.30,0,31.60,14.20,21.10,12.30,18.40,17,5.30,21.70,11.80,13.20,11.80,10.40,0,1,0,15.80,41250
98288,4.60,6.10,25.80,16.30,15.80,7.10,23.50,27,1.80,21.90,14.50,12.80,18.60,4.10,0,5.80,0,15,46324
98290,4.20,2.80,34.30,7.50,13.20,9,24,15.90,0.90,24.60,14.80,17.80,12.80,13,2.90,3.60,2.40,5.20,61110
98292,5.40,3.90,31.90,8.40,13.80,10.80,23.90,15.80,1.20,27.80,14.10,14.20,15,9.10,2.40,3.40,2.30,6.20,54889
98294,6.40,3.90,22,9.30,11.90,10.60,27.10,22.30,0.70,29.70,19,9.90,19.40,5.70,1.20,4.60,1,7.80,47331
98295,11.90,6.50,24.60,15.20,18.80,14.80,20.30,23.50,6,15.60,13.40,5.90,16.90,4.60,0.70,4.10,1.10,24.70,35414
98296,2.90,1.60,43.40,3.90,9.90,6.40,25.40,10,0.80,22.70,11.20,23.70,9.30,20.90,4.80,2.10,3.10,4.50,77181
98297,26.60,10.90,36.20,32.80,0,17.20,0,0,0,0,0,0,63.80,12.50,0,0,0,56.10,18452
98303,12.50,7.60,42,13,7.50,11.20,31.50,16.80,0,25.20,5,3.60,14,6.10,2,1.10,2,9.50,36480
98304,13.20,3.40,23.90,11.40,30.20,21.60,15.70,16.10,0.50,21,7.90,3.40,21.80,5.70,4.20,4.90,0,10.20,35469
98310,9.60,8.80,28.50,15.10,21.40,15.40,26.90,19.30,0.50,18.60,11.60,7.70,11.10,4.30,0.50,4.30,0.60,12.60,35819
98311,4,3.30,35,9.40,18.40,10.10,25.50,20.60,0.10,26.90,11.50,15.80,9.50,7.60,1.30,3.50,1,6.20,52477
98311,4,3.30,35,9.40,18.40,10.10,25.50,20.60,0.10,26.90,11.50,15.80,9.50,7.60,1.30,3.50,1,6.20,52477
98312,9.50,7.10,30,12.60,19.10,14,26.30,18.70,0.20,19.50,13.20,9.90,11.20,6,1.80,4.70,0.90,13.60,40133
98312,9.50,7.10,30,12.60,19.10,14,26.30,18.70,0.20,19.50,13.20,9.90,11.20,6,1.80,4.70,0.90,13.60,40133
98320,11.50,12.80,21.20,18.90,23.70,20.10,23.40,16.30,7.20,10.10,12.90,5.60,11.60,2.80,1.60,4.20,0.30,13.60,28167
98321,3.30,3.50,24.80,9,15.80,8.70,24.80,17.90,1.10,32.30,14.70,13.40,18.90,9.50,1.40,5.20,1,6.70,54602
98323,7,4.80,23.60,8.80,15.60,13.20,18.50,16.80,3.70,32.60,15.60,15,23,1.80,0,6,0,3.60,49712
98325,9.30,6.30,29.70,13.60,16.50,10.10,20.90,26.10,1,17.10,18.70,7.90,13.10,9.50,0,3.90,0,12.90,43140
98326,13.40,14.70,25.30,14.70,33.20,19.20,10.60,20.50,8.80,13.40,10.10,1.30,12,0,0,4.20,2.70,31.90,30476
98327,2.30,1.70,45.20,6.60,14.80,8.70,23.40,20.40,0,31.70,8,20,8.60,7.10,1.30,3.20,0.30,4.50,54836
98328,5.70,3.40,24.40,9.40,14,14.60,24.10,19.70,1.90,22.30,17.70,15.40,17.90,6.80,2,4.20,0.70,7.50,47728
98329,2.40,5,30.60,6.70,15.30,11.60,25.20,20.40,0.20,25.90,16.60,16.20,12.10,9.50,1,4.10,1.40,5.10,51984
98331,13.20,8.50,22.60,12.60,23.10,14.40,16.30,18.90,11.40,23.60,9.40,6,17.20,1.70,0.50,6.10,0.50,18.90,35802
