ZipCode,Latitude,Longitude,Population,PeoplePerSquareMile,HousingUnits,LandAreaInSqMi,WaterAreaInSqMi
98620,45.846697,-120.757033,6936,17.17,3108,403.94,0.22
98624,46.312541,-124.029688,1337,104.91,798,12.74,0.06
98625,46.015873,-122.797189,4483,89.99,1882,49.82,0
98626,46.150433,-122.885669,22549,175.71,9210,128.33,0.07
98628,45.82786,-121.098043,298,13.12,130,22.71,0
98629,45.8768,-122.62193,7105,169.44,2465,41.93,0.19
98631,46.365773,-124.050224,3411,145.13,2761,23.5,0.53
98632,46.156082,-122.980437,47202,445.17,19989,106.03,1.32
98635,45.726451,-121.197845,2193,14.93,1002,146.91,0.36
98638,46.370075,-123.765063,1370,10.98,591,124.8,0.02
98640,46.501781,-124.048018,3811,210.02,3964,18.15,0.09
98642,45.795825,-122.698044,12493,221.6,4674,56.38,1
98648,45.669604,-121.913325,2856,51.16,1264,55.83,1.5
98648,45.669604,-121.913325,2856,51.16,1264,55.83,1.5
98649,46.352771,-122.660546,735,15.5,297,47.41,0
98650,45.981582,-121.539503,779,14.24,428,54.69,0.05
98660,45.652255,-122.690092,10019,627.57,4415,15.96,0.77
98661,45.63873,-122.628466,36868,3510.41,15932,10.5,0.01
98662,45.671806,-122.578944,23772,1713.15,9079,13.88,0
98662,45.671806,-122.578944,23772,1713.15,9079,13.88,0
98663,45.647667,-122.661629,14152,3204.97,6130,4.42,0.02
98664,45.62104,-122.579473,20403,3794.2,8519,5.38,0
98665,45.681271,-122.667127,20631,2346.29,8638,8.79,0.06
98671,45.594465,-122.281126,15085,172.47,5950,87.47,0.14
98672,45.786727,-121.475236,5088,35.87,2199,141.83,0.08
98673,45.661878,-120.949978,213,87.04,122,2.45,0
98674,45.928662,-122.702848,9065,110.69,3475,81.9,0.42
98675,45.843674,-122.392214,4986,89.31,1485,55.83,0.03
98682,45.67309,-122.513192,42975,1412.68,15101,30.42,0
98683,45.604075,-122.510354,28210,3889.81,11999,7.25,0
98684,45.627459,-122.520237,20868,3300.1,7927,6.32,0
98685,45.709555,-122.68473,21148,2356.33,8088,8.97,0.21
98686,45.712623,-122.634191,13540,1335.49,5128,10.14,0.01
98801,47.425497,-120.328813,36551,257.41,14717,142,1.07
98802,47.436898,-120.257426,23179,204.24,8958,113.49,0.01
98812,48.112268,-119.752039,5327,21.56,1959,247.05,0.51
98813,47.999618,-119.661298,2348,22.17,875,105.93,0.1
98815,47.522546,-120.489668,7778,68.29,2915,113.9,0.42
98816,47.880774,-120.083792,6170,13.32,4183,463.16,2.64
98822,47.782158,-120.35944,1874,5,906,374.85,0.26
98823,47.297368,-119.571299,9897,36.32,3848,272.52,0
98826,47.728186,-120.738747,6586,6.58,4378,1000.77,7.75
98830,47.880616,-119.544811,498,1.55,264,322.16,0.53
98831,47.915227,-120.129345,3178,40,1540,79.46,0.85
98837,47.133606,-119.284554,32400,63.32,12517,511.7,2.66
98840,48.343356,-119.576567,4808,13.44,2040,357.64,2.8
98841,48.403174,-119.390664,8927,26.48,3600,337.18,0.12
98843,47.745842,-120.093262,1556,24.1,840,64.57,0.05
98844,48.9332,-119.381696,4501,17.21,2338,261.48,1.73
98845,47.466573,-119.820917,95,1.74,48,54.45,0
98846,48.03925,-119.939503,1005,10.02,477,100.27,0.3
98847,47.552462,-120.604579,1508,62.87,556,23.99,0.01
98848,47.18227,-119.85868,9824,24.2,3782,405.89,1.48
98850,47.360902,-120.113386,1814,21.68,628,83.68,0.13
98851,47.400024,-119.462406,3759,23.59,1837,159.37,1.74
98852,48.494944,-120.733489,100,0.45,126,222.72,0.74
98855,48.689509,-119.321692,5469,8.88,2739,615.73,2.74
98856,48.359904,-120.130518,2182,14.75,1286,147.97,0.19
98857,46.970666,-119.067208,3724,36.74,1218,101.35,0.96
98858,47.63205,-119.904236,1659,3.35,723,495.72,0.04
98860,47.458634,-119.139212,257,3,127,85.6,0.65
98862,48.488543,-120.242613,1916,3.71,1558,516.71,1.04
98901,46.616199,-120.464815,28724,132.6,9986,216.61,0.24
98902,46.595248,-120.531026,42634,4645.47,17498,9.18,0.14
98903,46.550348,-120.620973,13522,121.96,5321,110.87,0
98903,46.550348,-120.620973,13522,121.96,5321,110.87,0
98908,46.605303,-120.617624,32380,306.34,12985,105.7,0
98922,47.19377,-120.917337,4597,15.09,2881,304.61,0.06
98922,47.19377,-120.917337,4597,15.09,2881,304.61,0.06
98923,46.662006,-120.71558,1564,249.08,519,6.28,0
98925,47.3042,-121.248492,588,2.51,732,234.49,7.78
98926,47.009726,-120.523646,24800,50.34,10502,492.66,2.24
98930,46.260129,-119.906146,12919,285.38,4014,45.27,0
98932,46.345166,-120.184308,4182,142.04,1125,29.44,0.01
98933,46.406875,-120.624212,1199,46.22,366,25.94,0
98934,46.984565,-120.417826,479,2479.18,239,0.19,0
98935,46.177732,-120.029667,3885,18.39,1035,211.23,0.54
98936,46.540842,-120.333228,3458,39.66,1245,87.19,0
