ZipCode,Education-LessThan9thGrade,NeverMarried,Education-HighSchoolDropout,Married,Education-HighSchoolGrad,Separated,Education-SomeCollege,Widowed,Education-AssociatesDegree,Divorced,Education-BachelorsDegree,Education-Graduate/Professional,LivedInSameHomeForOver5Years,Education-HighSchoolOrHigher,Education-BachelorsOrHigher
98323,4.20,19.70,14.70,64.30,40,1.70,24.30,4.80,5.20,9.40,6.90,4.60,64.60,81.10,11.50
98325,2,17.60,4.10,62.50,32.70,0.90,32,6.50,9.70,12.50,18.10,1.20,62,93.90,19.40
98326,16.20,23.80,13.30,55.10,28,1.60,25.70,4.70,7.40,14.80,6.80,2.70,59.60,70.50,9.40
98327,2,16.90,3.70,66.10,14.80,1.30,25.20,4.60,8.20,11.20,27.30,18.70,17.40,94.30,46
98328,3.40,20.20,13.50,62.60,36.40,1.40,25,5,7.20,10.80,10,4.50,54.30,83.10,14.60
98329,1.60,19.50,9,64.60,28.40,1.40,33.30,3.10,9.90,11.50,11.80,6.10,54.40,89.50,17.90
98331,6.20,24.50,16.20,56.70,35.60,2.30,23.60,6.30,7.20,10.10,6.80,4.50,55.40,77.70,11.20
98332,1.50,19.90,6.60,64.90,22.10,1.40,29.10,4.90,8.80,8.90,20,11.90,55.90,91.90,31.90
98335,1.40,18.10,4.60,66,21,1.30,26.20,5.30,6.60,9.30,25.10,15.20,50.60,94.10,40.30
98337,3.80,47.20,9.20,28.60,32.60,5,30.90,4,8.80,15.10,10.80,4,31.60,87,14.80
98338,1.90,20.70,11.50,65.80,36.10,1.10,30.20,3.20,7.80,9.20,9.30,3.10,55.90,86.50,12.50
98339,2.20,19,10.10,55.60,35.10,2.80,33.20,7,7.80,15.70,7.20,4.40,53.50,87.70,11.60
98346,2,22.10,6.30,60.40,25.90,1.60,30.80,4.60,9.30,11.30,18.20,7.50,55.60,91.70,25.70
98349,3.10,19.10,14.60,59.90,27.70,2,28.50,5.40,5.70,13.70,12.30,8.10,57.10,82.20,20.40
98350,12.40,36.70,26.80,41.40,33,2.30,17,3.50,5.70,16,3.10,2.10,46.80,60.80,5.20
98354,1.90,22.40,13.10,56.10,32.60,1.10,29.90,7.40,8.20,13,11.40,3,51.50,85,14.40
98356,5.80,17.50,14.90,61,38.30,1.90,24.70,9,4.90,10.60,5.70,5.80,58.40,79.30,11.40
98357,5.70,38.20,12.40,38.80,34.70,4.70,27.40,3.60,9.40,14.70,6.70,3.80,54.30,81.90,10.40
98359,1.10,20,12.70,63.70,34.30,2.40,27.70,4.80,5.50,9,14.20,4.60,69.50,86.20,18.80
