Model,Year, Mileage , Price , CompPrice ,Location, AgeScore , MileageScore , AgeScoreNorm , MileageScoreNorm , CombinedScore ,PriceToScore,VIN,ID,Notes,URL,Ignore?
Sonata,2002,134000,3900,2356.923788,Seattle, 25.12 , 159.72 , 0.25 , 0.47 , 0.42 , 1.65 ,,,,http://seattle.craigslist.org/see/cto/3440992979.html,Y
Civic,1996,124000,3200,2342.323626,Lynnwood, 48.50 , 141.08 , 0.48 , 0.41 , 0.43 , 1.37 ,,H,Text sent. Carpet on left side is wet not sure why. Alignment?,http://seattle.craigslist.org/sno/cto/3507767649.html,Y
Elantra,2002,136309,3200,2300.648932,Redmond, 25.12 , 164.15 , 0.25 , 0.48 , 0.43 , 1.39 ,,I,,http://seattle.craigslist.org/est/cto/3504548311.html,
Sonata,2002,136804,5000,2288.8604,Shoreline, 25.12 , 165.10 , 0.25 , 0.48 , 0.44 , 2.18 ,KMHWF35H52A654610,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&numRecords=50&searchRadius=75&makeCode3=HYUND&minPrice=4000&listingId=335184723&listingIndex=2&Log=0,Y
Sonata,2006,143000,4999,2273.274166,Tacoma, 12.29 , 177.23 , 0.12 , 0.52 , 0.44 , 2.20 ,5NPEU46F56H037716,NN,,http://seattle.craigslist.org/tac/cto/3495085260.html,
Camry,1999,133000,4500,2262.861828,Burien, 36.27 , 157.82 , 0.36 , 0.46 , 0.44 , 1.99 ,,,,http://seattle.craigslist.org/skc/cto/3505231825.html,Y
Corolla,2001,136494,4000,2259.360811,Bremerton, 28.70 , 164.51 , 0.28 , 0.48 , 0.44 , 1.77 ,1NXBR12E41Z516719,AA,Accident on June 2004. Hit another car,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=336712989,
Accord,1993,121699,3995,2255.762,Lynnwood, 61.70 , 136.92 , 0.61 , 0.40 , 0.44 , 1.77 ,1HGCB7249PA023833,,2-door coupe,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHONDA%5BCIVIC%5B%5DACCORD%5B%5D%5D%5B%5D%5D&modelCode1=CIVIC&makeCode2=HONDA&modelCode2=ACCORD&sortBy=mileageASC&showcaseOwnerId=575701&makeCode1=HONDA&startYear=1981&searchRadius=75&listingId=334267226&listingIndex=14&Log=0,Y
Elantra,2005,145000,3900,2197.331238,Enumclaw, 15.25 , 181.21 , 0.15 , 0.53 , 0.46 , 1.77 ,,,manual,http://seattle.craigslist.org/skc/cto/3502572825.html,Y
Elantra,1999,136318,3991,2189.148542,Bellevue, 36.27 , 164.17 , 0.36 , 0.48 , 0.46 , 1.82 ,KMHJW25F5XU125800,CC,Wagon,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=4000&mmt=%5BHYUND%5BELANTR%5B%5DELANTOUR%5B%5DSONATA%5B%5D%5D%5B%5D%5D&modelCode1=ELANTR&sortBy=mileageASC&makeCode2=HYUND&modelCode2=ELANTOUR&showcaseOwnerId=100019686&startYear=1981&makeCode1=HYUND&modelCode3=SONATA&makeCode3=HYUND&searchRadius=75&listingId=335665759&listingIndex=11&Log=0,
Civic,1998,135000,3500,2179.977911,Skyway, 40.23 , 161.63 , 0.40 , 0.47 , 0.46 , 1.61 ,,U,,http://seattle.craigslist.org/see/cto/3505864143.html,
Camry,1997,133866,3990,2165.784608,Burien, 44.31 , 159.47 , 0.44 , 0.47 , 0.46 , 1.84 ,4T1BG22K8VU017817,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?endYear=2014&zip=98125&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&showcaseListingId=335752400&mmt=%5BTOYOTA%5BCAMRY%5B%5D%5D%5B%5D%5D&modelCode1=CAMRY&sortBy=mileageASC&showcaseOwnerId=599690&makeCode1=TOYOTA&startYear=1981&numRecords=50&searchRadius=75&listingId=324299721&listingIndex=13&Log=0,Y
Accord,1999,138162,4500,2149.783026,Shoreline, 36.27 , 167.73 , 0.36 , 0.49 , 0.47 , 2.09 ,1HGCG165XXA059046,,,http://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?zip=98125&endYear=2014&listingType=used&listingTypes=used&sellerTypes=b&maxPrice=5000&mmt=%5BHONDA%5BACCORD%5B%5DCIVIC%5B%5D%5D%5B%5D%5D&modelCode1=ACCORD&sortBy=mileageASC&makeCode2=HONDA&modelCode2=CIVIC&showcaseOwnerId=575701&startYear=1981&makeCode1=HONDA&numRecords=50&searchRadius=75&minPrice=4000&listingId=334322968&listingIndex=2&Log=0,Y
Accord,1996,134431,1800,2116.133382,Issaquah, 48.50 , 160.55 , 0.48 , 0.47 , 0.47 , 0.85 ,,,Called. Left a message for David. Looks like it sold,http://seattle.craigslist.org/est/cto/3507787736.html,Y
Elantra,2006,151559,5000,2081.609384,Shoreline, 12.29 , 194.50 , 0.12 , 0.57 , 0.48 , 2.40 ,KMHDN46DXU374018,TT,,http://seattle.craigslist.org/see/ctd/3502421177.html,
